team,games_analyzed,passing_yards_allowed_per_game,passing_tds_allowed_per_game,completions_allowed_per_game,attempts_allowed_per_game,receiving_yards_allowed_per_game,receptions_allowed_per_game,targets_allowed_per_game,receiving_tds_allowed_per_game,air_yards_allowed_per_game,yac_allowed_per_game,fantasy_points_allowed_per_game,passing_yards_rank,receiving_yards_rank,fantasy_points_rank,targets_allowed_rank,completions_rank,overall_defense_rank
NYJ,17,211.05882352941177,1.0588235294117647,19.235294117647058,30.58823529411765,207.2941176470588,18.941176470588236,28.647058823529413,1.0588235294117647,243.8235294117647,97.88235294117646,57.912941176470596,4.0,4.0,5.0,6.0,6.0,4.333333333333333
CHI,17,232.88235294117646,1.0,19.11764705882353,29.529411764705884,232.7058823529412,19.058823529411764,27.705882352941178,1.0,223.2941176470588,112.58823529411765,60.450588235294106,15.0,15.0,9.0,3.0,5.0,13.0
IND,17,243.64705882352942,1.588235294117647,22.235294117647058,32.05882352941177,242.1764705882353,22.176470588235293,30.58823529411765,1.588235294117647,225.2941176470588,117.29411764705883,67.50470588235294,26.0,26.0,29.0,14.0,25.0,27.0
BAL,19,256.05263157894734,1.5263157894736843,22.736842105263158,35.578947368421055,253.89473684210526,22.57894736842105,33.526315789473685,1.5263157894736843,274.89473684210526,111.47368421052632,62.252631578947366,28.0,28.0,16.0,29.0,27.0,24.0
LA,19,235.47368421052633,1.5789473684210527,20.736842105263158,31.68421052631579,232.89473684210526,20.57894736842105,30.263157894736842,1.5263157894736843,249.68421052631578,115.36842105263158,64.89789473684212,19.0,16.0,21.0,12.0,12.0,18.666666666666668
CAR,17,237.64705882352942,2.0588235294117645,21.11764705882353,31.0,236.1764705882353,21.11764705882353,29.705882352941178,2.0588235294117645,227.1764705882353,110.70588235294117,78.68823529411765,22.0,21.0,32.0,9.0,13.0,25.0
PIT,18,240.33333333333334,1.3888888888888888,22.11111111111111,33.5,239.0,21.944444444444443,31.944444444444443,1.3888888888888888,231.83333333333334,112.38888888888889,61.01888888888888,24.0,24.0,11.0,23.0,24.0,19.666666666666668
ATL,17,235.35294117647058,2.0,23.705882352941178,33.88235294117647,235.2941176470588,23.529411764705884,32.1764705882353,2.0,227.35294117647058,114.41176470588235,67.44941176470589,18.0,19.0,28.0,24.0,30.0,21.666666666666668
WAS,20,212.95,1.45,18.35,29.15,212.45,18.25,27.6,1.45,236.1,97.6,65.328,5.0,5.0,23.0,2.0,1.0,11.0
HOU,19,219.3684210526316,1.736842105263158,18.68421052631579,32.05263157894737,219.6315789473684,18.68421052631579,30.94736842105263,1.736842105263158,283.7368421052632,116.0,60.016842105263144,6.0,6.0,7.0,15.0,4.0,6.333333333333333
KC,20,233.65,1.4,21.65,32.65,233.3,21.6,31.05,1.4,244.15,114.15,60.601,16.0,17.0,10.0,17.0,17.0,14.333333333333334
TEN,17,189.1764705882353,1.588235294117647,18.470588235294116,27.823529411764707,189.05882352941177,18.41176470588235,26.823529411764707,1.5294117647058822,192.35294117647058,100.41176470588235,61.514117647058825,1.0,1.0,14.0,1.0,2.0,5.333333333333333
SEA,17,231.1764705882353,1.5294117647058822,21.823529411764707,33.470588235294116,228.23529411764707,21.235294117647058,31.647058823529413,1.5294117647058822,213.41176470588235,124.82352941176471,61.417647058823526,13.0,14.0,13.0,20.0,20.0,13.333333333333334
MIA,17,225.23529411764707,1.2941176470588236,21.470588235294116,33.529411764705884,224.05882352941177,21.41176470588235,31.352941176470587,1.2941176470588236,205.35294117647058,115.0,57.63294117647059,9.0,9.0,4.0,19.0,14.0,7.333333333333333
DAL,17,237.94117647058823,1.6470588235294117,20.529411764705884,30.058823529411764,237.7058823529412,20.470588235294116,28.823529411764707,1.6470588235294117,237.52941176470588,124.11764705882354,69.93529411764705,23.0,23.0,30.0,7.0,9.0,25.333333333333332
DET,18,261.27777777777777,1.1111111111111112,21.944444444444443,35.55555555555556,260.77777777777777,21.88888888888889,33.77777777777778,1.0555555555555556,303.6111111111111,117.88888888888889,62.162222222222226,30.0,30.0,15.0,30.0,23.0,25.0
NO,17,252.64705882352942,1.1176470588235294,21.529411764705884,34.64705882352941,251.58823529411765,21.470588235294116,33.11764705882353,1.1176470588235294,280.11764705882354,126.17647058823529,66.58235294117648,27.0,27.0,25.0,27.0,15.0,26.333333333333332
LV,17,234.64705882352942,1.7058823529411764,21.764705882352942,33.0,233.88235294117646,21.647058823529413,31.176470588235293,1.7058823529411764,216.64705882352942,117.11764705882354,65.15058823529411,17.0,18.0,22.0,18.0,18.0,19.0
TB,18,261.94444444444446,1.6111111111111112,24.5,36.833333333333336,262.8888888888889,24.555555555555557,34.333333333333336,1.6111111111111112,265.22222222222223,123.55555555555556,65.46111111111111,31.0,31.0,24.0,31.0,32.0,28.666666666666668
NYG,17,227.58823529411765,1.3529411764705883,20.529411764705884,29.529411764705884,226.11764705882354,20.294117647058822,28.294117647058822,1.3529411764705883,207.52941176470588,102.29411764705883,64.44470588235293,11.0,12.0,20.0,5.0,9.0,14.333333333333334
CLE,17,228.11764705882354,1.5294117647058822,18.58823529411765,29.941176470588236,226.23529411764707,18.41176470588235,28.0,1.5294117647058822,265.1764705882353,107.94117647058823,66.83058823529412,12.0,13.0,26.0,4.0,3.0,17.0
BUF,20,237.15,1.6,22.25,32.5,237.2,22.2,30.95,1.55,224.4,114.9,63.556,21.0,22.0,18.0,16.0,26.0,20.333333333333332
LAC,18,224.66666666666666,1.3888888888888888,21.61111111111111,33.22222222222222,223.61111111111111,21.444444444444443,31.77777777777778,1.3333333333333333,241.83333333333334,100.72222222222223,56.93111111111111,8.0,8.0,2.0,21.0,16.0,6.0
SF,17,204.47058823529412,1.4705882352941178,19.88235294117647,30.294117647058822,204.05882352941177,19.88235294117647,29.058823529411764,1.411764705882353,218.47058823529412,108.05882352941177,62.66117647058824,2.0,2.0,17.0,8.0,7.0,7.0
NE,17,220.52941176470588,1.588235294117647,20.352941176470587,31.176470588235293,219.8235294117647,20.294117647058822,30.058823529411764,1.588235294117647,261.4117647058824,98.76470588235294,64.36823529411765,7.0,7.0,19.0,11.0,8.0,11.0
MIN,18,259.3333333333333,1.4444444444444444,24.11111111111111,36.833333333333336,258.27777777777777,23.944444444444443,35.55555555555556,1.4444444444444444,277.72222222222223,118.33333333333333,61.28444444444444,29.0,29.0,12.0,32.0,31.0,23.333333333333332
PHI,21,205.42857142857142,1.3333333333333333,20.61904761904762,33.23809523809524,206.47619047619048,20.61904761904762,32.285714285714285,1.3333333333333333,249.52380952380952,95.85714285714286,53.27904761904762,3.0,3.0,1.0,25.0,11.0,2.3333333333333335
ARI,17,231.1764705882353,1.1764705882352942,21.764705882352942,31.705882352941178,224.94117647058823,21.41176470588235,29.705882352941178,1.0588235294117647,209.8235294117647,110.52941176470588,60.129411764705885,13.0,11.0,8.0,9.0,18.0,10.666666666666666
JAX,17,270.88235294117646,1.7058823529411764,22.88235294117647,34.11764705882353,270.88235294117646,22.823529411764707,32.94117647058823,1.7058823529411764,260.6470588235294,135.05882352941177,74.4235294117647,32.0,32.0,31.0,26.0,28.0,31.666666666666668
DEN,18,241.66666666666666,1.3333333333333333,22.88888888888889,35.0,240.94444444444446,22.77777777777778,33.388888888888886,1.2777777777777777,243.5,115.22222222222223,58.92222222222222,25.0,25.0,6.0,28.0,29.0,18.666666666666668
CIN,17,236.23529411764707,1.7647058823529411,21.88235294117647,33.64705882352941,235.8235294117647,21.705882352941178,31.88235294117647,1.6470588235294117,240.35294117647058,118.41176470588235,67.16117647058823,20.0,20.0,27.0,22.0,21.0,22.333333333333332
GB,18,227.22222222222223,1.3888888888888888,21.88888888888889,32.5,224.77777777777777,21.61111111111111,30.38888888888889,1.3888888888888888,222.27777777777777,107.11111111111111,57.111111111111114,10.0,10.0,3.0,13.0,22.0,7.666666666666667
